Hit#    X, mm   Y, mm   Z, mm
65	-21.225	3.130	-332.428
66	0.469	1.719	-327.665
67	14.727	-15.717	-332.468
68	-13.667	9.514	-330.464
69	-0.336	-3.655	-327.767
70	-1.756	-3.912	-327.816
71	-11.724	-1.067	-329.028
72	-2.226	1.589	-327.708
73	-5.152	-12.357	-329.444
74	-4.443	-17.064	-330.819
75	13.237	0.561	-329.406
76	-3.541	-12.941	-329.452
77	0.629	-10.459	-328.735
78	-17.828	1.305	-330.910
79	-3.040	7.059	-328.223
80	19.967	-0.632	-331.762
81	6.311	-17.281	-331.111
82	-8.122	-0.798	-328.299
83	-3.542	-7.183	-328.274
84	-0.380	-9.109	-328.465
85	-5.544	-11.279	-329.226
86	17.332	-2.444	-330.770
87	-9.264	17.945	-331.856
88	14.699	10.132	-330.901
89	13.087	-10.114	-330.425
90	7.402	-9.764	-329.145
91	10.154	14.825	-330.945
92	-3.775	-18.368	-331.251
93	0.280	-22.807	-333.090
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
0     	11.036	1.055	-328.868
1	12.311	-0.410	-329.162
2	15.486	-7.577	-330.674
3	1.433	4.871	-327.890
4	-5.802	7.172	-328.485
5	-1.814	-12.723	-329.299
6	14.989	14.247	-332.071
7	-7.580	-7.351	-328.752
8	-0.572	-12.036	-329.095
9	12.401	12.272	-330.749
10	19.985	-4.522	-331.987
11	3.088	15.104	-330.049
12	18.704	-1.634	-331.261
13	-18.522	4.287	-331.357
14	12.832	6.822	-329.774
15	21.421	-0.453	-332.414
16	-16.247	6.726	-330.800
17	9.789	8.109	-329.263
18	-5.456	8.706	-328.692
19	-3.637	-13.841	-329.708
20	11.353	-5.751	-329.266
21	-16.771	7.891	-331.165
22	19.003	11.953	-332.909
23	22.110	-5.627	-333.093
24	7.678	12.762	-329.884
25	-2.194	4.818	-327.912
26	-7.662	-9.650	-329.163
27	9.986	-10.433	-329.747
28	13.701	15.311	-332.012
29	-11.235	-6.298	-329.307
30	6.359	9.265	-328.902
31	-9.312	-7.793	-329.118
32	-19.162	1.240	-331.435
33	20.290	3.170	-332.007
34	12.076	15.276	-331.547
35	-2.803	-6.973	-328.197
36	-17.603	-6.248	-331.223
37	2.726	1.545	-327.731
38	-7.677	-4.792	-328.452
39	-5.818	-12.685	-329.604
40	-1.052	-15.341	-330.036
41	-0.078	-4.765	-327.859
42	-2.949	5.260	-327.995
43	-0.550	9.706	-328.580
44	16.907	1.134	-330.567
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
0     	-1.180	11.555	-328.990
1	-21.479	5.329	-332.752
2	-4.493	10.447	-328.933
3	-20.011	8.904	-332.641
4	-4.498	-10.243	-328.891
5	-1.985	-8.360	-328.371
6	1.150	-3.413	-327.762
7	-21.651	3.380	-332.646
8	12.998	1.212	-329.353
9	18.085	-8.902	-331.840
10	-8.643	17.883	-331.712
11	15.891	3.922	-330.365
12	4.907	-19.167	-331.679
13	15.315	15.153	-332.470
14	-14.686	-0.695	-329.825
15	-9.081	-9.061	-329.293
16	-2.242	-2.547	-327.748
17	-5.389	-5.922	-328.273
18	-6.036	1.227	-328.011
19	2.904	20.061	-331.889
20	-17.164	8.498	-331.414
21	12.150	11.968	-330.607
22	-3.517	11.272	-329.036
23	-2.239	14.239	-329.738
24	-2.215	5.932	-328.033
25	20.847	-5.542	-332.483
26	-18.149	-4.507	-331.231
27	0.165	3.120	-327.730
28	1.339	-7.223	-328.172
29	-3.895	-17.378	-330.885
30	-14.440	-9.844	-330.760
31	-11.581	-0.138	-328.982
32	-8.547	-3.169	-328.464
33	-11.857	-12.093	-330.564
34	-17.209	2.135	-330.710
35	-11.600	-3.617	-329.120
36	-4.710	4.788	-328.083
37	5.859	-2.940	-328.061
38	-2.381	-3.695	-327.825
39	-7.270	-10.600	-329.300
40	15.452	-13.024	-331.862
41	12.033	-3.946	-329.250
42	-2.313	13.654	-329.573
43	4.044	13.807	-329.730
44	-0.606	13.465	-329.469
45	-18.844	-2.247	-331.343
46	5.193	-1.194	-327.916
47	-0.441	3.181	-327.736
48	1.471	0.809	-327.661
49	-9.991	13.452	-330.500
50	11.884	-0.404	-329.056
51	-19.963	4.847	-332.010
52	-2.507	17.888	-330.981
53	-13.970	-6.892	-330.101
54	11.569	7.691	-329.586
55	-1.021	8.134	-328.304
56	6.048	2.307	-328.051
57	-21.524	2.057	-332.507
58	-3.935	-2.266	-327.838
59	0.138	6.848	-328.101
60	11.570	-7.601	-329.572
61	15.126	0.296	-329.958
62	14.470	6.415	-330.183
63	5.011	5.576	-328.194
64	-1.758	-9.482	-328.565
65	8.181	-3.466	-328.423
66	8.152	8.911	-329.102
67	1.421	-1.034	-327.664
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
0     	8.917	-20.455	-332.842
1	5.838	-7.176	-328.490
2	18.722	-8.063	-331.940
3	-1.298	-9.311	-328.518
4	11.501	-3.311	-329.075
5	-3.708	-9.932	-328.761
6	-20.536	-9.344	-332.965
7	1.134	-0.750	-327.652
8	10.938	-7.353	-329.387
9	-0.635	3.013	-327.727
10	4.557	-1.106	-327.852
11	20.396	-8.999	-332.832
12	9.051	4.784	-328.684
13	17.348	-4.306	-330.909
14	14.765	-11.447	-331.224
15	6.645	-1.003	-328.083
16	-0.671	16.464	-330.403
17	-9.285	19.289	-332.406
18	11.144	13.450	-330.757
19	3.938	-1.443	-327.808
20	13.547	1.942	-329.527
21	-2.404	-14.656	-329.871
22	-1.857	14.629	-329.839
23	7.053	7.231	-328.656
24	9.470	3.169	-328.632
25	0.746	-13.529	-329.489
26	1.114	5.194	-327.914
27	-15.972	-7.043	-330.753
28	17.856	11.490	-332.325
29	-21.303	0.038	-332.357
30	14.408	2.973	-329.828
31	-6.079	-17.735	-331.250
32	5.337	6.668	-328.362
33	-2.231	-0.135	-327.683
34	15.017	12.764	-331.646
35	-1.607	-21.857	-332.648
36	-3.097	-5.280	-328.006
37	13.684	5.795	-329.874
38	15.925	-3.163	-330.320
39	-6.869	8.447	-328.823
40	12.791	-10.114	-330.344
41	18.924	-5.303	-331.623
42	12.539	2.014	-329.260
43	14.392	-2.922	-329.820
44	12.792	-3.701	-329.425
45	-10.636	16.916	-331.764
46	2.638	-11.499	-329.034
47	15.357	-9.067	-330.894
48	-7.376	-15.294	-330.580
49	8.015	18.954	-332.026
50	-7.540	-20.466	-332.597
51	5.280	13.618	-329.796
52	8.653	-14.964	-330.690
53	14.444	3.873	-329.903
54	20.733	6.420	-332.546
55	-12.684	-0.617	-329.259
56	8.254	-7.962	-328.956
57	5.092	-0.697	-327.896
58	4.790	-11.008	-329.084
59	-3.312	-10.105	-328.768
60	0.965	-18.005	-330.969
61	-4.706	-5.128	-328.116
62	-1.695	-5.069	-327.918
63	16.307	-5.880	-330.708
64	-11.967	11.582	-330.465
65	6.087	-8.694	-328.763
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
0     	3.982	0.025	-327.791
1	1.489	-12.254	-329.168
2	-12.334	6.584	-329.611
3	10.995	-17.414	-332.033
4	15.668	-3.556	-330.263
5	12.577	3.719	-329.370
6	2.779	-10.379	-328.792
7	-3.847	3.156	-327.880
8	15.772	14.208	-332.322
9	-16.719	-9.290	-331.404
10	-0.376	10.521	-328.745
11	11.707	10.052	-330.053
12	-5.106	-0.151	-327.893
13	-3.958	-2.368	-327.845
14	-16.364	2.140	-330.412
15	9.481	4.170	-328.709
16	8.975	5.987	-328.802
17	16.115	-7.212	-330.827
18	8.394	0.386	-328.339
19	-13.719	10.709	-330.734
20	14.536	-8.604	-330.548
21	4.375	12.975	-329.529
22	-6.142	6.186	-328.393
23	6.628	3.808	-328.216
24	-14.160	12.520	-331.312
25	13.330	10.872	-330.660
26	-17.688	6.617	-331.305
27	18.675	5.559	-331.552
28	2.491	19.512	-331.630
29	-3.815	0.762	-327.784
30	-3.242	4.346	-327.926
31	7.273	-14.287	-330.251
32	8.304	5.350	-328.611
33	-5.564	-16.794	-330.840
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
0     	7.249	19.208	-332.004
1	-4.489	7.268	-328.363
2	-7.219	6.091	-328.526
3	9.998	-6.038	-329.005
4	7.268	12.041	-329.635
5	-12.828	11.659	-330.708
6	-0.200	14.884	-329.882
7	-0.137	8.692	-328.389
8	-4.276	16.900	-330.744
9	-0.727	5.062	-327.893
10	9.052	-17.329	-331.580
11	13.902	15.109	-332.005
12	-16.059	5.901	-330.626
13	22.498	2.906	-333.027
14	3.820	-5.867	-328.122
15	-4.426	-11.144	-329.081
16	12.136	10.666	-330.293
17	-10.142	9.403	-329.568
18	2.444	-14.578	-329.850
19	12.015	2.788	-329.166
20	8.293	6.135	-328.700
21	13.126	18.521	-333.035
22	10.112	4.672	-328.880
23	6.252	-10.602	-329.159
24	-7.856	11.556	-329.609
25	14.473	4.646	-329.980
26	-5.916	-3.392	-328.097
27	-3.581	22.268	-332.961
28	6.486	-7.712	-328.651
29	4.580	-1.634	-327.868
30	13.654	5.638	-329.847
31	4.306	-2.948	-327.904
32	-20.198	0.669	-331.863
33	-13.352	-14.383	-331.611
34	7.678	-16.426	-331.008
35	-6.248	-13.623	-329.913
36	-4.573	6.074	-328.210
37	19.109	12.081	-332.988
38	-4.071	0.975	-327.807
39	-1.568	7.442	-328.210
40	-2.082	12.337	-329.211
41	5.649	19.715	-331.994
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
0     	-16.401	-2.957	-330.468
1	3.504	2.843	-327.836
2	-9.517	-12.552	-330.158
3	0.476	3.210	-327.738
4	16.791	-9.377	-331.447
5	14.505	8.125	-330.455
6	2.491	-16.363	-330.429
7	6.180	4.611	-328.227
8	-20.370	-6.140	-332.344
9	-7.970	-6.434	-328.685
10	-12.639	-2.725	-329.320
11	14.162	16.758	-332.660
12	10.416	1.196	-328.736
13	-6.481	-18.043	-331.422
14	-13.197	14.688	-331.662
15	9.055	-10.015	-329.475
16	-21.976	-4.136	-332.866
17	0.673	9.872	-328.614
18	-7.168	1.911	-328.182
19	-9.180	-4.546	-328.685
20	0.458	-9.947	-328.627
21	-2.389	-1.679	-327.718
22	-10.941	6.038	-329.207
23	20.962	6.127	-332.611
24	-3.028	-6.825	-328.189
25	-0.185	11.391	-328.938
26	-5.162	-14.089	-329.919
27	-15.138	3.291	-330.073
28	4.340	2.820	-327.900
29	8.859	-17.166	-331.482
30	4.375	-1.896	-327.859
31	-2.809	-7.856	-328.329
32	2.201	18.650	-331.263
33	-4.613	-14.131	-329.875
34	-16.339	-2.448	-330.418
35	-20.887	-8.960	-333.049
36	-10.671	-11.628	-330.168
37	-6.509	12.200	-329.567
38	-19.240	3.612	-331.590
39	-5.412	-7.102	-328.431
40	-6.609	20.781	-332.595
41	0.225	18.566	-331.178
42	8.545	16.895	-331.325
43	-14.484	5.491	-330.073
44	-1.225	21.219	-332.334
45	-10.581	-5.839	-329.104
46	-3.869	9.393	-328.668
47	11.452	-19.196	-332.861
48	-9.915	14.589	-330.821
49	18.483	4.440	-331.355
50	18.345	-9.076	-331.976
51	13.663	17.438	-332.763
52	-4.439	7.251	-328.356
53	-17.356	1.474	-330.739
54	-0.722	18.262	-331.064
55	19.258	8.736	-332.284
56	-18.991	2.626	-331.422
57	-8.646	9.092	-329.220
58	-2.343	21.111	-332.328
59	-13.812	1.238	-329.579
60	-21.145	6.119	-332.695
61	-13.314	-9.491	-330.359
62	5.771	-19.837	-332.062
63	-9.110	-19.357	-332.399
64	-3.688	-22.137	-332.906
65	-21.366	-0.451	-332.389
66	-8.169	13.746	-330.237
67	1.541	18.301	-331.099
68	-0.382	16.267	-330.332
69	19.542	7.961	-332.263
70	-9.800	-13.576	-330.496
71	-3.506	10.966	-328.966
72	-3.068	9.088	-328.554
73	-11.081	1.760	-328.898
74	1.960	9.453	-328.567
75	-8.123	10.367	-329.384
76	-8.964	12.779	-330.111
77	13.591	10.359	-330.619
78	-3.427	5.597	-328.062
79	-1.084	16.061	-330.273
80	-7.952	-5.423	-328.561
81	13.842	12.742	-331.277
82	-2.160	-5.848	-328.020
83	-9.625	5.957	-328.921
84	6.114	10.826	-329.191
85	6.389	13.494	-329.896
86	-10.036	-14.728	-330.890
87	-3.788	6.708	-328.226
88	20.871	4.994	-332.430
89	-15.467	16.851	-333.123
90	-16.316	6.354	-330.773
91	-5.190	12.844	-329.574
92	-17.546	6.584	-331.247
93	14.913	1.016	-329.901
94	-2.180	22.384	-332.930
Hit#    X, mm   Y, mm   Z, mm
0     	-9.872	-10.101	-329.653
1	4.529	-5.782	-328.171
2	-18.053	-13.456	-332.942
3	-6.695	-13.603	-329.968
4	-3.546	-11.715	-329.142
5	-2.071	7.092	-328.178
6	-13.189	-0.118	-329.390
7	20.029	-9.617	-332.795
8	-8.853	4.849	-328.654
9	8.181	6.010	-328.666
10	-3.470	1.141	-327.766
11	7.136	14.354	-330.250
12	7.618	-17.550	-331.406
13	7.397	-8.415	-328.894
14	-0.376	13.517	-329.481
15	-8.240	-17.038	-331.322
16	-2.130	-17.271	-330.733
17	-11.665	-13.752	-330.970
18	-6.886	17.391	-331.233
19	13.463	13.109	-331.267
20	-9.430	1.764	-328.555
21	11.306	7.686	-329.523
22	1.918	3.953	-327.825
23	9.691	18.063	-331.990
24	-7.109	10.232	-329.198
25	13.266	0.304	-329.412
26	11.267	-11.197	-330.202
27	-5.404	-19.610	-331.920
28	-11.234	-7.130	-329.421
29	2.294	10.746	-328.846
30	4.265	21.324	-332.566
31	-5.377	-5.129	-328.184
32	-12.611	14.711	-331.507
33	-8.524	8.776	-329.141
34	6.631	19.193	-331.905
35	-0.658	-7.692	-328.228
36	21.878	6.353	-333.076
37	14.223	-10.707	-330.882
38	-12.156	-9.969	-330.148
39	21.898	-0.925	-332.648
40	-18.418	-4.873	-331.373
41	4.472	-22.334	-333.074
42	-2.665	-2.835	-327.784
43	3.488	19.197	-331.563
44	0.201	-11.368	-328.933
45	12.279	6.317	-329.562
46	-9.454	9.916	-329.531
47	-6.695	-5.318	-328.364
48	11.375	-7.248	-329.472
49	15.479	16.216	-332.893
50	1.254	4.084	-327.815
51	-10.336	20.319	-333.084
52	-0.786	15.732	-330.158
53	-8.452	16.592	-331.199
54	0.040	8.459	-328.348
55	-18.112	-5.275	-331.297
56	-5.339	-6.815	-328.382
57	13.394	0.191	-329.446
58	1.981	-6.916	-328.149
59	3.786	22.073	-332.882
60	1.302	-9.463	-328.547
61	4.306	8.839	-328.602
62	-6.170	-12.638	-329.635
63	3.940	-3.328	-327.898
64	-13.902	0.983	-329.598
65	-5.817	1.113	-327.983
66	6.219	-12.323	-329.560
67	11.073	-16.543	-331.731
68	-8.714	4.356	-328.584
69	-4.162	6.216	-328.192
70	6.798	-7.414	-328.647
71	8.539	18.607	-331.979
72	2.148	5.606	-327.992
73	-21.286	2.625	-332.424
74	6.603	7.829	-328.685
75	-0.650	1.643	-327.664
76	7.666	16.870	-331.163
77	15.003	-6.262	-330.327
78	-16.850	-5.055	-330.803
79	3.121	11.949	-329.170
80	3.878	9.133	-328.620
81	10.436	13.296	-330.552
82	-3.078	-3.225	-327.831
83	8.353	7.675	-328.926
84	3.632	-1.174	-327.778
85	-2.054	15.127	-330.001
86	5.847	11.710	-329.362
87	-0.241	-7.720	-328.229
88	8.727	10.720	-329.566
89	2.112	4.162	-327.850
90	-12.206	-2.261	-329.186
91	-0.124	13.972	-329.609
92	-5.699	9.454	-328.857
93	6.179	12.778	-329.673
94	1.567	0.286	-327.658
95	-4.416	4.102	-327.995
96	2.096	-1.966	-327.715
97	13.884	4.111	-329.758
98	-0.686	-1.440	-327.659
99	-14.366	17.142	-332.868
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
0     	1.099	-6.696	-328.092
1	3.454	21.529	-332.594
2	2.223	4.708	-327.903
3	0.423	-9.772	-328.592
4	11.504	12.696	-330.635
5	3.684	0.929	-327.777
6	-4.145	8.922	-328.603
7	-3.124	3.100	-327.826
8	6.288	-1.495	-328.049
9	-22.429	-3.612	-333.044
10	1.299	-1.235	-327.665
11	1.171	16.943	-330.581
12	9.468	10.906	-329.747
13	-11.768	19.293	-332.984
14	-10.410	12.864	-330.428
15	1.582	9.965	-328.654
16	-5.005	-13.438	-329.716
17	-0.018	4.616	-327.845
18	-9.943	-15.962	-331.273
19	-0.327	7.275	-328.162
20	-19.649	-1.354	-331.641
21	-8.172	16.224	-331.021
22	10.718	2.305	-328.840
23	-6.860	11.047	-329.340
24	-20.088	7.139	-332.364
25	21.638	-1.374	-332.535
26	-2.767	0.546	-327.712
27	20.574	-0.765	-332.030
28	12.209	-4.894	-329.380
29	-8.773	13.325	-330.225
30	5.128	16.059	-330.536
31	-15.049	6.317	-330.349
32	14.641	9.435	-330.739
33	0.030	12.989	-329.336
34	-9.937	2.375	-328.680
35	5.911	-5.363	-328.269
36	-0.890	1.836	-327.675
37	-0.998	-12.089	-329.115
38	3.936	-8.266	-328.472
39	0.722	-17.043	-330.608
40	-8.787	-11.721	-329.809
41	-6.553	7.242	-328.589
42	5.357	16.584	-330.742
43	4.285	-2.311	-327.869
44	-10.840	-2.514	-328.877
45	-16.108	12.365	-331.905
46	15.740	-2.576	-330.223
47	-6.190	8.432	-328.731
48	12.318	5.290	-329.449
49	19.879	-2.721	-331.799
50	-5.802	14.404	-330.085
51	-8.576	9.476	-329.281
52	8.051	-6.168	-328.664
53	11.350	-6.881	-329.412
54	-11.544	-11.277	-330.287
55	-5.610	-5.476	-328.247
56	-7.133	11.412	-329.463
57	12.367	4.906	-329.421
58	-0.851	2.561	-327.706
59	12.374	3.615	-329.310
60	-5.904	-15.617	-330.479
61	15.166	16.136	-332.759
62	14.524	3.354	-329.888
63	-9.770	-13.541	-330.480
64	-3.874	-17.586	-330.960
65	5.972	17.604	-331.187
66	16.000	-9.541	-331.202
67	-14.109	-15.224	-332.106
68	-5.250	-7.420	-328.460
69	-2.435	-0.470	-327.694
70	1.917	-11.792	-329.070
71	-6.473	-19.114	-331.850
72	-3.083	8.828	-328.508
73	2.226	14.160	-329.715
74	15.467	-4.510	-330.278
75	-1.842	7.572	-328.239
76	-0.439	3.779	-327.777
77	8.222	-14.676	-330.524
78	6.522	-3.801	-328.202
79	10.642	-6.751	-329.235
80	-12.998	2.117	-329.384
81	2.880	-10.213	-328.763
82	1.615	-8.187	-328.329
83	2.065	-1.496	-327.698
84	13.579	-4.869	-329.742
85	2.199	10.343	-328.755
86	-15.296	2.253	-330.063
87	20.539	1.112	-332.022
88	-4.659	16.199	-330.536
89	-0.893	-17.368	-330.729
90	-19.282	-4.774	-331.713
91	-6.732	5.668	-328.408
92	-5.011	12.276	-329.409
93	9.481	6.653	-328.982
94	-18.590	-0.811	-331.194
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
0     	-14.307	-7.252	-330.254
1	-1.671	18.370	-331.130
2	-15.687	-4.259	-330.327
3	-9.906	-5.002	-328.870
4	3.375	-18.605	-331.315
5	-0.105	-3.500	-327.755
6	14.764	-10.967	-331.109
7	0.193	4.245	-327.813
8	-12.380	10.186	-330.251
9	4.355	-13.137	-329.571
10	-7.747	7.225	-328.759
11	1.435	-19.559	-331.605
12	-6.811	7.007	-328.590
13	-2.512	10.042	-328.708
14	-18.869	9.227	-332.219
15	-16.303	-10.779	-331.577
16	8.729	3.603	-328.526
17	20.973	-5.477	-332.533
18	-11.682	-15.298	-331.454
19	0.393	-7.828	-328.246
20	5.427	-0.965	-327.936
21	-16.536	-2.399	-330.484
22	6.801	-10.654	-329.244
23	-10.880	-5.565	-329.137
24	-13.025	15.420	-331.852
25	-6.756	0.271	-328.089
26	-5.328	0.293	-327.917
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
0     	4.168	-3.639	-327.938
1	-8.124	9.464	-329.201
2	5.074	16.620	-330.724
3	7.495	10.786	-329.375
4	-19.491	11.216	-332.928
5	8.759	8.873	-329.200
6	10.157	3.238	-328.774
7	-5.546	-5.023	-328.192
8	-19.841	10.248	-332.851
9	11.178	7.206	-329.420
10	-16.513	13.204	-332.282
11	-2.885	0.548	-327.719
12	5.608	7.921	-328.577
13	-19.201	-4.148	-331.619
14	-0.737	-19.798	-331.690
15	7.103	-12.978	-329.854
16	-11.819	6.343	-329.451
17	-2.367	2.680	-327.760
18	12.889	6.449	-329.738
19	-11.908	-10.569	-330.214
20	-3.521	10.580	-328.882
21	-19.189	-1.872	-331.467
22	16.931	6.955	-331.075
23	-8.948	-11.600	-329.810
24	-8.612	2.158	-328.422
25	-13.088	18.363	-332.959
26	14.452	-13.873	-331.786
27	9.496	-8.183	-329.217
28	14.655	0.610	-329.815
29	-6.040	0.472	-327.999
30	-2.426	7.216	-328.212
31	14.169	-4.342	-329.861
32	16.552	7.527	-331.028
33	-13.890	-17.490	-332.852
34	8.084	-19.873	-332.428
35	-0.129	4.329	-327.820
36	-1.755	-5.299	-327.943
37	-16.753	7.151	-331.040
38	-11.757	17.092	-332.101
39	-0.643	-12.721	-329.269
40	-6.525	12.727	-329.705
41	-16.940	-10.473	-331.735
42	5.633	6.558	-328.380
43	7.534	2.794	-328.278
44	-9.678	17.317	-331.702
45	6.347	7.276	-328.567
46	-20.550	0.978	-332.024
47	-13.761	-0.744	-329.554
48	-13.457	-10.201	-330.546
49	-4.150	0.783	-327.811
50	4.232	-8.547	-328.544
51	-0.669	14.643	-329.812
52	-17.255	8.974	-331.537
53	3.811	-3.767	-327.919
54	4.424	-11.277	-329.111
55	8.157	7.438	-328.857
56	-14.602	-2.278	-329.849
57	-4.980	9.002	-328.694
58	-7.009	1.270	-328.139
59	-13.415	1.629	-329.479
60	-4.828	-21.918	-332.907
61	4.276	11.514	-329.153
62	-11.475	-3.644	-329.092
63	-20.012	-8.595	-332.582
64	6.244	14.760	-330.249
65	-8.936	-1.049	-328.443
66	-4.203	-4.415	-328.003
67	17.399	-8.079	-331.427
68	-9.835	-16.266	-331.355
69	-1.813	-19.007	-331.390
70	16.100	5.040	-330.541
71	-3.581	-13.513	-329.611
72	1.866	14.518	-329.806
73	-13.299	1.551	-329.444
74	3.854	5.058	-328.036
75	-2.607	19.363	-331.574
76	-0.177	2.149	-327.679
77	4.866	12.217	-329.379
78	-19.346	-12.017	-333.072
79	10.326	12.369	-330.278
80	-3.813	1.118	-327.790
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
0     	-2.562	-19.438	-331.603
1	11.845	-2.803	-329.125
2	-21.194	-4.443	-332.523
3	20.950	3.352	-332.317
4	-12.774	-8.395	-330.007
5	11.700	11.823	-330.457
6	-0.079	7.522	-328.198
7	-5.712	11.179	-329.222
8	4.665	15.837	-330.414
9	-5.690	8.471	-328.677
10	4.320	8.742	-328.586
11	1.321	8.150	-328.314
12	-6.740	4.871	-328.324
13	-21.570	3.166	-332.592
14	-5.230	0.170	-327.906
15	-4.988	10.836	-329.065
16	-8.837	2.956	-328.502
17	-7.559	-3.981	-328.363
18	19.827	-3.382	-331.820
19	-11.031	-9.839	-329.850
20	-9.598	7.598	-329.142
21	1.301	20.546	-332.030
22	-11.830	18.011	-332.472
23	7.508	-17.300	-331.295
24	16.379	-6.131	-330.765
25	-10.116	4.912	-328.904
26	4.643	-10.115	-328.878
27	5.213	-0.065	-327.904
28	-12.960	0.484	-329.330
29	4.645	-0.252	-327.848
30	7.045	13.861	-330.092
31	-1.381	-11.644	-329.016
32	-4.272	7.823	-328.428
33	0.620	-3.578	-327.764
34	-11.814	-19.128	-332.925
35	-9.907	-3.722	-328.757
36	1.912	6.045	-328.034
37	-20.616	7.715	-332.694
38	11.995	-11.566	-330.468
39	-3.895	-16.780	-330.669
40	9.659	12.436	-330.156
41	-21.268	-3.464	-332.472
42	11.740	8.196	-329.710
43	9.831	-11.114	-329.867
44	-14.694	-8.142	-330.515
45	-6.040	20.572	-332.421
46	-1.617	-15.484	-330.098
47	-12.937	-4.328	-329.515
48	-20.682	7.888	-332.754
49	-0.743	-9.033	-328.455
50	3.593	13.228	-329.533
51	-7.186	4.532	-328.355
52	5.066	-10.024	-328.901
53	10.776	-18.523	-332.416
54	-6.659	5.132	-328.339
55	-15.541	-16.071	-332.863
56	7.365	3.376	-328.289
57	-5.946	-6.839	-328.455
58	-3.113	10.462	-328.830
59	-13.314	-8.119	-330.107
60	3.418	2.372	-327.805
61	12.867	5.768	-329.646
62	-13.196	3.203	-329.497
63	-10.411	-8.172	-329.402
64	-7.572	-1.673	-328.233
65	22.379	-2.752	-332.958
66	-12.177	-6.420	-329.550
67	-9.473	8.829	-329.325
68	7.969	17.000	-331.261
Hit#    X, mm   Y, mm   Z, mm
