Data from: EADS UK. 20.02.2004

SPE envelope  fluence of worst week Oct 1989 CREME96 (online) and Aug 1972 (code from D Henderyickx) models
Energy. [MeV/nuc]
Integral Flux. [particles/(m2-s-sr-MeV/nuc)]

Z=2

Energy	Flux
3.2846	26275.67446
3.3303	25866.88467
3.3765	25463.06632
3.4235	25061.67956
3.471	24665.36667
3.5193	24271.69688
3.5682	23882.3846
3.6178	23496.70132
3.6681	23114.72601
3.719	22737.27167
3.7707	22362.9244
3.8231	21992.49298
3.8762	21626.03211
3.9301	21262.92098
3.9847	20903.90636
4.0401	20548.39079
4.0963	20196.44839
4.1532	19848.75667
4.2109	19504.74856
4.2694	19164.48758
4.3288	18827.46271
4.3889	18494.85796
4.4499	18165.61453
4.5118	17839.80064
4.5745	17517.98999
4.638	17200.21617
4.7025	16885.53696
4.7678	16574.97982
4.8341	16267.6446
4.9013	15964.04411
4.9694	15664.21533
5.0385	15367.7664
5.1085	15075.16783
5.1795	14786.0433
5.2515	14500.43098
5.3244	14218.76304
5.3984	13940.30575
5.4735	13665.10357
5.5495	13393.92247
5.6266	13126.07517
5.7048	12861.6002
5.7841	12600.53711
5.8645	12342.91867
5.946	12088.77087
6.0286	11838.11295
6.1124	11590.67925
6.1974	11346.50933
6.2835	11105.90668
6.3708	10868.61023
6.4594	10654.43396
6.5491	10618.43067
6.6401	10582.02992
6.7324	10545.23662
6.826	10508.05575
6.9209	10470.49232
7.017	10432.59073
7.1146	10394.23797
7.2134	10355.55727
7.3137	10316.43654
7.4153	10276.95944
7.5184	10237.05392
7.6229	10196.76466
7.7288	10156.09739
7.8362	10115.01975
7.9451	10073.53803
8.0555	10031.65859
8.1675	9989.350104
8.281	9946.657022
8.3961	9903.548436
8.5128	9860.031341
8.6311	9816.112776
8.751	9771.799819
8.8726	9727.062884
8.9959	9681.909639
9.1209	9636.347795
9.2477	9590.348918
9.3762	9543.957342
9.5065	9497.145066
9.6386	9449.920496
9.7726	9402.256603
9.9084	9354.197718
10.046	9305.752371
10.186	9256.71954
10.327	9207.597605
10.471	9157.699562
10.616	9107.728233
10.764	9057.004207
10.913	9006.222815
11.065	8954.71235
11.219	8902.824559
11.375	8850.569437
11.533	8797.957004
11.693	8744.997303
11.856	8691.372411
12.02	8637.75039
12.187	8583.487424
12.357	8528.599786
12.529	8473.423602
12.703	8417.96904
12.879	8362.246266
13.058	8305.951999
13.24	8249.102789
13.424	8192.024388
13.61	8134.726968
13.799	8076.915883
13.991	8018.607825
14.186	7959.819537
14.383	7900.86594
14.583	7841.461214
14.785	7781.915801
14.991	7721.656935
15.199	7661.286448
15.41	7600.527472
15.625	7539.112289
15.842	7477.628994
16.062	7415.807537
16.285	7353.664653
16.511	7291.217045
16.741	7228.208613
16.973	7165.203889
17.209	7101.676314
17.449	7037.649615
17.691	6973.673828
17.937	6909.236631
18.186	6844.619931
18.439	6779.58413
18.695	6714.406118
18.955	6648.851043
19.218	6583.190695
19.485	6517.194971
19.756	6450.887054
20.031	6384.290035
20.309	6317.665295
20.591	6250.792247
20.878	6183.460254
21.168	6116.161111
21.462	6048.681356
21.76	5981.04324
22.063	5913.045699
22.369	5845.159457
22.68	5776.962506
22.995	5708.699469
23.315	5640.178773
23.639	5571.639455
23.967	5503.102305
24.3	5434.382785
24.638	5365.508937
24.981	5296.508542
25.328	5227.606359
25.68	5158.627106
26.037	5089.597655
26.398	5020.734008
26.765	4951.680843
27.137	4882.656064
27.514	4813.68514
27.897	4744.614104
28.284	4675.828323
28.678	4606.822716
29.076	4538.150435
29.48	4469.489753
29.89	4400.871347
30.305	4332.488886
30.726	4264.20339
31.153	4196.044003
31.586	4128.039326
32.025	4060.217392
32.47	3992.605655
32.922	3925.082855
33.379	3857.974009
33.843	3791.01102
34.313	3724.366962
34.79	3657.928101
35.274	3591.725557
35.764	3525.922758
36.261	3460.411319
36.765	3395.22011
37.276	3330.377209
37.794	3265.90989
38.319	3201.844606
38.852	3138.088559
39.392	3074.789726
39.939	3011.971982
40.494	2949.547036
41.057	2887.544042
41.628	2825.991167
42.206	2765.019916
42.793	2704.445483
43.387	2644.499441
43.99	2585.004072
44.602	2525.989188
45.221	2467.669673
45.85	2409.787101
46.487	2352.551933
47.133	2295.896294
47.788	2239.844241
48.452	2184.41864
49.126	2129.560802
49.808	2075.453976
50.501	2021.882423
51.202	1969.099122
51.914	1916.897925
52.635	1865.446935
53.367	1814.623533
54.109	1764.518814
54.861	1715.150219
55.623	1666.533884
56.396	1618.62357
57.18	1571.438173
57.974	1525.052705
58.78	1479.366382
59.597	1434.453136
60.425	1390.326211
61.265	1346.946651
62.116	1304.379023
62.98	1262.537153
63.855	1221.53033
64.742	1181.320338
65.642	1141.873665
66.554	1103.244501
67.479	1065.39937
68.417	1028.347863
69.368	992.0980913
70.332	956.6567233
71.309	922.0290233
72.3	888.1853736
73.305	855.1320889
74.324	822.8740216
75.357	791.414606
76.404	760.7559049
77.466	730.8710771
78.543	701.7628803
79.634	673.4580843
80.741	645.9048316
81.863	619.1283184
83.001	593.1036391
84.154	567.8513749
85.324	543.3256029
86.509	519.564934
87.712	496.5060008
88.931	474.1840652
90.166	452.5923343
91.42	431.6741587
92.69	411.4742791
93.978	391.9533154
95.284	373.10494
96.608	354.9217904
97.951	337.3828069
99.312	320.492771
100.69	304.2530391
102.09	288.5965038
103.51	273.5391145
104.95	259.0717379
106.41	245.1844205
107.89	231.8664611
109.39	219.1064826
110.91	206.8925018
112.45	195.2119977
114.01	184.0519788
115.59	173.3990472
117.2	163.1778732
118.83	153.4433462
120.48	144.1806847
122.16	135.3238834
123.85	126.9632223
125.57	118.9843291
127.32	111.3806997
129.09	104.1843168
130.88	97.37937548
132.7	90.91592626
134.55	84.78544352
136.42	79.008689
138.31	73.56998125
140.23	68.42814721
142.18	63.57366697
144.16	58.99675026
146.16	54.708039
148.19	50.6736925
150.25	46.88374568
152.34	43.32817502
154.46	39.99694662
156.6	36.89398021
158.78	33.98041227
160.99	31.26152232
163.23	28.72763986
165.49	26.37922324
167.79	24.18624901
170.13	22.14213517
172.49	20.25548778
174.89	18.50164636
177.32	16.88054216
179.78	15.38405247
182.28	13.99908256
184.81	12.7243833
187.38	11.54830838
189.99	10.46512604
192.63	9.472811597
195.3	8.564887881
198.02	7.729386798
200.77	6.967496284
203.56	6.271232637
206.39	5.636033147
209.26	5.057531854
212.16	4.533274954
215.11	4.055702322
218.1	3.622968375
221.13	3.231524671
224.21	2.876941196
227.32	2.558366975
230.48	2.270781105
233.69	2.011723457
236.93	1.780203431
240.23	1.571765238
243.56	1.386162262
246.95	1.2197116
250.38	1.071629594
253.86	0.93975105
257.39	0.822548504
260.97	0.71860592
264.59	0.626851292
268.27	0.582864058
272	0.561002582
275.78	0.539970801
279.61	0.519741009
283.5	0.500235494
287.44	0.481480447
291.43	0.463450071
295.48	0.446076237
299.59	0.429338747
303.75	0.413256119
307.97	0.397768199
312.25	0.38285631
316.59	0.368501782
320.99	0.354686053
325.45	0.341391681
329.98	0.32857327
334.56	0.31627028
339.21	0.304412302
343.92	0.293010137
348.7	0.282024971
353.55	0.271443605
358.46	0.261274259
363.45	0.251463274
368.5	0.242037506
373.62	0.232965381
378.81	0.224235311
384.07	0.215835944
389.41	0.207741019
394.82	0.199955618
400.31	0.192455512
405.87	0.185244751
411.51	0.17830095
417.23	0.171615597
423.03	0.165180336
428.91	0.158986958
434.87	0.153027447
440.92	0.147284544
447.04	0.141769632
453.26	0.136448658
459.56	0.131332399
465.94	0.126413772
472.42	0.121671264
478.98	0.117113546
485.64	0.112720818
492.39	0.108494375
499.23	0.104428648
506.17	0.100512536
513.2	0.096746722
520.34	0.093115878
527.57	0.089625585
534.9	0.086266352
542.33	0.083033845
549.87	0.079919685
557.51	0.076924162
565.26	0.074039555
573.11	0.071265861
581.08	0.068592475
589.16	0.066019567
597.34	0.063546839
605.64	0.061164977
614.06	0.058871176
622.6	0.056662612
631.25	0.054538922
640.02	0.0524949
648.91	0.050527964
657.93	0.048633375
667.08	0.04680888
676.35	0.045054138
685.75	0.043364966
695.28	0.04173923
704.94	0.040174835
714.74	0.038668211
724.67	0.037218972
734.74	0.03582378
744.95	0.034480893
755.3	0.033188588
765.8	0.031944004
776.44	0.030746742
787.23	0.029594128
798.17	0.028484718
809.27	0.027416132
820.51	0.026388918
831.92	0.025399025
843.48	0.024446939
855.2	0.023530589
867.09	0.022648068
879.14	0.021799
891.35	0.020982259
903.74	0.020195481
916.3	0.019438335
929.03	0.018709837
941.95	0.018007939
955.04	0.017332849
968.31	0.016683164
981.77	0.016057578
995.41	0.015455752
1009.2	0.014878143
1023.3	0.014317487
1037.5	0.013781474
1051.9	0.013265454
1066.5	0.012768784
1081.3	0.012290839
1096.4	0.011827917
1111.6	0.01138554
1127.1	0.010957301
1142.7	0.010548146
1158.6	0.010152245
1174.7	0.00977168
1191	0.009405918
1207.6	0.009052307
1224.4	0.008712578
1241.4	0.008386223
1258.6	0.008072765
1276.1	0.007770002
1293.9	0.007477656
1311.8	0.007198569
1330.1	0.006927706
1348.6	0.00666776
1367.3	0.006418321
1386.3	0.006177725
1405.6	0.005945717
1425.1	0.005723185
1444.9	0.005508682
1465	0.005301966
1485.3	0.005103774
1506	0.004911921
1526.9	0.004728031
1548.1	0.004550954
1569.7	0.00437968
1591.5	0.00421558
1613.6	0.004057653
1636	0.003905697
1658.7	0.00375951
1681.8	0.003618287
1705.2	0.003482481
1728.9	0.003351904
1752.9	0.003226375
1777.3	0.003105222
1802	0.002988797
1827	0.002876931
1852.4	0.002769033
1878.1	0.002665394
1904.2	0.002565477
1930.7	0.002469171
1957.5	0.002376711
1984.7	0.002287627
2012.3	0.002201815
2040.3	0.002119169
2068.6	0.002039871
2097.4	0.001963264
2126.5	0.001889782
2156.1	0.001818824
2186.1	0.001750551
2216.4	0.001685092
2247.2	0.001621926
2278.5	0.001560987
2310.1	0.001502582
2342.2	0.00144626
2374.8	0.00139196
2407.8	0.001339779
2441.3	0.001289493
2475.2	0.001241184
2509.6	0.001194648
2544.5	0.001149829
2579.8	0.001106793
2615.7	0.001065244
2652	0.001025362
2688.9	0.000986875
2726.2	0.000949942
2764.1	0.000914318
2802.5	0.000880053
2841.5	0.000847016
2881	0.000815251
2921	0.000784715
2961.6	0.000755292
3002.8	0.000726947
3044.5	0.000699711
3086.8	0.000673485
3129.7	0.000648234
3173.2	0.000623928
3217.3	0.000600536
3262	0.000578026
3307.4	0.000556323
3353.3	0.000535493
3399.9	0.000515418
3447.2	0.000496073
3495.1	0.000477476
3543.6	0.000459601
3592.9	0.000442351
3642.8	0.000425776
3693.5	0.000409789
3744.8	0.000394433
3796.8	0.000379656
3849.6	0.000365413
3903.1	0.000351712
3957.3	0.000338534
4012.3	0.000325841
4068.1	0.000313615
4124.6	0.000301864
4181.9	0.00029055
4240.1	0.000279641
4299	0.00026916
4358.7	0.000259075
4419.3	0.000249357
4480.7	0.00024001
4543	0.000231006
4606.1	0.000222349
4670.1	0.000214014
4735.1	0.000205977
4800.9	0.000198254
4867.6	0.000190822
4935.2	0.000183671
5003.8	0.000176783
5073.3	0.000170157
5143.9	0.000163768
5215.3	0.000157634
5287.8	0.000151721
5361.3	0.000146031
5435.8	0.000140555
5511.4	0.00013528
5588	0.000130207
5665.6	0.000125327
5744.3	0.000120629
5824.2	0.000116102
5905.1	0.000111749
5987.2	0.000107557
6070.4	0.000103523
6154.8	9.96387E-05
6240.3	9.59032E-05
6327	9.23072E-05
6414.9	8.88461E-05
6504.1	8.55119E-05
6594.5	8.23041E-05
6686.1	7.92184E-05
6779	7.62475E-05
6873.3	7.33847E-05
6968.8	7.06325E-05
7065.6	6.79842E-05
7163.8	6.54337E-05
7263.4	6.2978E-05
7364.3	6.06163E-05
7466.7	5.83411E-05
7570.4	5.61536E-05
7675.6	5.40469E-05
7782.3	5.20186E-05
7890.5	5.00659E-05
8000.1	4.81883E-05
8111.3	4.63798E-05
8224	4.46398E-05
8338.3	4.29645E-05
8454.2	4.13519E-05
8571.7	3.97999E-05
8690.8	3.83065E-05
8811.6	3.68685E-05
8934.1	3.54842E-05
9058.2	3.41529E-05
9184.1	3.28708E-05
9311.7	3.16372E-05
9441.2	3.04487E-05
9572.4	2.93056E-05
9705.4	2.82055E-05
9840.3	2.71463E-05
9977	2.61273E-05
10116	2.51438E-05
10256	2.42033E-05
10399	2.32914E-05
10543	2.24196E-05
10690	2.15748E-05
10838	2.07674E-05
10989	1.99853E-05
11142	1.9233E-05
11297	1.85096E-05
11454	1.78139E-05
11613	1.71451E-05
11774	1.65021E-05
11938	1.58805E-05
12104	1.52831E-05
12272	1.47091E-05
12442	1.41578E-05
12615	1.36252E-05
12791	1.31107E-05
12968	1.26196E-05
13149	1.21429E-05
13331	1.16878E-05
13517	1.12463E-05
13704	1.08249E-05
13895	1.04163E-05
14088	1.00243E-05
14284	9.64645E-06
14482	9.28407E-06
14684	8.9331E-06
14888	8.59663E-06
15095	8.27252E-06
15304	7.96185E-06
15517	7.66129E-06
15733	7.37194E-06
15951	7.09472E-06
16173	6.82672E-06
16398	6.56886E-06
16626	6.3208E-06
16857	6.08222E-06
17091	5.8528E-06
17329	5.63127E-06
17569	5.41921E-06
17814	5.2137E-06
18061	5.01701E-06
18312	4.82727E-06
18567	4.64427E-06
18825	4.4685E-06
19086	4.2997E-06
19351	4.13701E-06
19620	3.98022E-06
19893	3.82918E-06
20170	3.68368E-06
20450	3.54406E-06
20734	3.40962E-06
21022	3.2802E-06
21314	3.15563E-06
21611	3.03536E-06
21911	2.92002E-06
22215	2.80907E-06
22524	2.70201E-06
22837	2.59906E-06
23154	2.50008E-06
23476	2.40464E-06
23803	2.31262E-06
24133	2.22447E-06
24469	2.13927E-06
24809	2.05741E-06
25154	1.97857E-06
25503	1.90286E-06
25858	1.82974E-06
26217	1.75955E-06
26581	1.69199E-06
26951	1.62679E-06
27325	1.56423E-06
27705	1.50389E-06
28090	1.44585E-06
28480	1.39004E-06
28876	1.33624E-06
29277	1.28452E-06
29684	1.23469E-06
30097	1.18669E-06
30515	1.14057E-06
30939	1.09616E-06
31369	1.0534E-06
31805	1.01225E-06
32247	9.72637E-07
32695	9.34526E-07
33150	8.97781E-07
33610	8.62515E-07
34077	8.28527E-07
34551	7.95777E-07
35031	7.64294E-07
35518	7.3397E-07
36012	7.0477E-07
36512	6.76713E-07
37020	6.49652E-07
37534	6.23659E-07
38056	5.98599E-07
38585	5.74491E-07
39121	5.51301E-07
39664	5.28999E-07
40216	5.07477E-07
40775	4.86787E-07
41341	4.66899E-07
41916	4.47719E-07
42498	4.29289E-07
43089	4.11523E-07
43688	3.94428E-07
44295	3.77984E-07
44910	3.62168E-07
45535	3.46908E-07
46167	3.3226E-07
46809	3.18134E-07
47460	3.04536E-07
48119	2.91469E-07
48788	2.78876E-07
49466	2.6676E-07
50153	2.55105E-07
50850	2.4388E-07
51557	2.33072E-07
52274	2.22666E-07
53000	2.12663E-07
53737	2.03023E-07
54483	1.9376E-07
55241	1.84825E-07
56008	1.76243E-07
56787	1.67968E-07
57576	1.60011E-07
58376	1.52352E-07
59187	1.44982E-07
60010	1.37882E-07
60844	1.31051E-07
61689	1.24481E-07
62547	1.18148E-07
63416	1.12059E-07
64297	1.06199E-07
65191	1.00553E-07
66097	9.51222E-08
67015	8.9898E-08
67947	8.48629E-08
68891	8.00214E-08
69848	7.53621E-08
70819	7.08742E-08
71803	6.65567E-08
72801	6.23997E-08
73813	5.83981E-08
74839	5.45467E-08
75879	5.08406E-08
76933	4.72749E-08
78002	4.38419E-08
79086	4.05371E-08
80186	3.73535E-08
81300	3.42929E-08
82430	3.13456E-08
83575	2.85105E-08
84737	2.57791E-08
85914	2.31526E-08
87108	2.06232E-08
88319	1.8188E-08
89546	1.58455E-08
90791	1.35892E-08
92053	1.1418E-08
93332	9.32904E-09
94629	7.31806E-09
95944	5.38252E-09
97277	3.51992E-09
98629	1.72652E-09
100000	0
