#y[keV/um],r(y),stdevr(y)
7.3900,0.97400,0.79179
7.5600,0.97400,0.77794
7.7400,0.97400,0.76329
7.9200,0.99300,0.74863
8.1000,0.99300,0.74700
8.2900,0.99300,0.76600
8.4800,0.99300,0.76600
8.6700,0.99300,0.74985
8.8700,0.99300,0.74700
9.0800,0.99300,0.74700
9.2900,1.0100,0.73071
9.5000,1.0100,0.72800
9.7200,1.0300,0.72800
9.9500,1.0300,0.72800
10.200,1.0500,0.72800
10.400,1.0500,0.72800
10.700,1.0700,0.72800
10.900,1.0900,0.72800
11.200,1.0900,0.72800
11.400,1.1100,0.74700
11.700,1.1100,0.74700
11.900,1.1300,0.76600
12.200,1.1300,0.76600
12.500,1.1300,0.76600
12.800,1.1500,0.78500
13.100,1.1600,0.78500
13.400,1.1800,0.78500
13.700,1.2200,0.80400
14.000,1.2400,0.80400
14.300,1.2600,0.80400
14.700,1.3000,0.82300
15.000,1.3400,0.82300
15.300,1.3700,0.86100
15.700,1.3900,0.89900
16.100,1.4500,0.93700
16.400,1.4900,0.97500
16.800,1.5300,1.0100
17.200,1.5800,1.0500
17.600,1.6200,1.0900
18.000,1.6600,1.1300
18.400,1.7200,1.1700
18.800,1.7800,1.2000
19.300,1.8300,1.2400
19.700,1.8900,1.2800
20.200,1.9300,1.3400
20.600,1.9900,1.4100
21.100,2.0400,1.5100
21.600,2.1000,1.5800
22.100,2.1400,1.6800
22.600,2.2000,1.7700
23.100,2.2300,1.8500
23.600,2.2900,1.9500
24.200,2.3500,2.0000
24.700,2.3900,2.0600
25.300,2.4400,2.1200
25.900,2.5000,2.1600
26.500,2.5600,2.2100
27.100,2.6000,2.2500
27.700,2.6700,2.3100
28.300,2.7100,2.3500
29.000,2.7700,2.4000
29.700,2.8300,2.4400
30.300,2.8800,2.4800
31.000,2.9200,2.5400
31.800,2.9800,2.5700
32.500,3.0400,2.6100
33.200,3.0900,2.6500
34.000,3.1300,2.7100
34.800,3.1900,2.7500
35.600,3.2500,2.7800
36.400,3.3000,2.8400
37.200,3.3600,2.8600
38.100,3.4200,2.8800
39.000,3.4700,2.9000
39.800,3.5300,2.9200
40.800,3.5900,2.9600
41.700,3.6500,2.9700
42.700,3.7000,2.9900
43.600,3.7600,3.0100
44.600,3.8200,3.0300
45.700,3.8800,3.0700
46.700,3.9300,3.0900
47.800,3.9700,3.1100
48.900,4.0500,3.1300
50.000,4.0900,3.1500
51.200,4.1400,3.1600
52.300,4.1800,3.1800
53.500,4.2400,3.2000
54.800,4.2600,3.2200
56.000,4.3200,3.2600
57.300,4.3300,3.2600
58.600,4.3700,3.2800
60.000,4.3900,3.2800
61.400,4.4100,3.2800
62.800,4.4300,3.3000
64.200,4.4300,3.3000
65.700,4.4300,3.3200
67.200,4.4300,3.3200
68.800,4.4500,3.3200
70.400,4.4500,3.3112
72.000,4.4500,3.3000
73.700,4.4100,3.3000
75.400,4.3900,3.2911
77.200,4.3500,3.2800
78.900,4.3000,3.2800
80.800,4.2400,3.2705
82.700,4.1800,3.2600
84.600,4.1100,3.2505
86.600,4.0100,3.2200
88.600,3.9500,3.1900
90.700,3.8800,3.1633
92.800,3.7800,3.1195
95.000,3.7000,3.0864
97.200,3.6100,3.0373
99.500,3.5100,2.9867
102.00,3.4400,2.9433
104.00,3.3400,2.8950
107.00,3.2500,2.7933
109.00,3.1500,2.7350
112.00,3.0700,2.6367
114.00,2.9800,2.5750
117.00,2.8800,2.4600
120.00,2.8300,2.3467
122.00,2.7300,2.2500
125.00,2.6300,2.0367
128.00,2.5400,1.8800
131.00,2.4400,1.7300
134.00,2.3700,1.6000
137.00,2.2700,1.4667
141.00,2.2000,1.3325
144.00,2.1000,1.2100
147.00,2.0400,1.1200
151.00,1.9500,1.0215
154.00,1.8900,0.97267
158.00,1.8300,0.93025
162.00,1.7600,0.89700
165.00,1.6800,0.87325
169.00,1.6000,0.83525
173.00,1.5500,0.79650
177.00,1.4700,0.75825
181.00,1.4100,0.72025
186.00,1.3700,0.68700
190.00,1.3400,0.66040
194.00,1.3200,0.63950
199.00,1.3000,0.63000
203.00,1.2800,0.63000
208.00,1.2400,0.61480
213.00,1.2200,0.61100
218.00,1.2000,0.59580
223.00,1.1800,0.59200
228.00,1.1600,0.57680
233.00,1.1500,0.57300
239.00,1.1100,0.55717
244.00,1.0900,0.55400
250.00,1.0700,0.55400
256.00,1.0500,0.53733
262.00,1.0300,0.53400
268.00,0.99300,0.51771
274.00,0.99300,0.51500
280.00,0.97400,0.49917
287.00,0.95500,0.49600
293.00,0.95500,0.48017
300.00,0.93600,0.47700
307.00,0.93600,0.47700
314.00,0.91600,0.46071
322.00,0.89700,0.45800
329.00,0.89700,0.45800
337.00,0.87800,0.44138
344.00,0.87800,0.43900
352.00,0.85900,0.43900
361.00,0.85900,0.43900
369.00,0.84000,0.42211
378.00,0.82100,0.42000
386.00,0.82100,0.42000
395.00,0.80200,0.42000
404.00,0.80200,0.40311
414.00,0.78300,0.40100
423.00,0.78300,0.40100
433.00,0.76400,0.40100
443.00,0.76400,0.38390
453.00,0.74500,0.38200
464.00,0.74500,0.38200
475.00,0.72600,0.38200
486.00,0.72600,0.36473
497.00,0.70600,0.36209
508.00,0.70600,0.36200
520.00,0.68700,0.36200
532.00,0.68700,0.34458
545.00,0.66800,0.34300
557.00,0.66800,0.34300
570.00,0.64900,0.32546
583.00,0.64900,0.32400
597.00,0.63000,0.32400
611.00,0.63000,0.32400
625.00,0.61100,0.30636
639.00,0.61100,0.30500
654.00,0.59200,0.30500
669.00,0.59200,0.30500
685.00,0.57300,0.28719
700.00,0.57300,0.28600
717.00,0.57300,0.28600
733.00,0.55400,0.28600
750.00,0.55400,0.26812
768.00,0.53500,0.26700
785.00,0.53500,0.26700
804.00,0.53500,0.24906
822.00,0.51600,0.24800
841.00,0.51600,0.24800
861.00,0.49600,0.22995
881.00,0.49600,0.22900
901.00,0.47700,0.22900
922.00,0.47700,0.22900
943.00,0.47700,0.21090
965.00,0.45800,0.21000
987.00,0.45800,0.21000
1010.0,0.43900,0.21000
1030.0,0.43900,0.20900
1060.0,0.42000,0.19000
1080.0,0.42000,0.19000
1110.0,0.42000,0.19000
1130.0,0.40100,0.19000
1160.0,0.40100,0.19000
1190.0,0.40100,0.17100
1210.0,0.40100,0.17100
1240.0,0.40100,0.17100
1270.0,0.38200,0.17100
1300.0,0.38200,0.17100
1330.0,0.38200,0.17100
1360.0,0.38200,0.17100
1390.0,0.38200,0.17100
1420.0,0.38200,0.17100
1460.0,0.38200,0.15200
1490.0,0.38200,0.15200
1520.0,0.38200,0.15200
1560.0,0.38200,0.15200
1600.0,0.38200,0.15200
1630.0,0.38200,0.15200
1670.0,0.38200,0.15200
1710.0,0.38200,0.15200
1750.0,0.38200,0.15200
1790.0,0.38200,0.15200
1830.0,0.38200,0.15200
1870.0,0.38200,0.15200
1920.0,0.38200,0.15200
1960.0,0.38200,0.15200
2010.0,0.40100,0.15200
2050.0,0.40100,0.15200
2100.0,0.40100,0.15200
2150.0,0.40100,0.15200
2200.0,0.40100,0.15200
2250.0,0.40100,0.15200
2300.0,0.40100,0.15200
2300.0,0.40100,0.15200
