
=====================================================================
 Run #0 / Number of event processed : 10000000
=====================================================================
organ ID|      Organ Mass (g)   Dose (Gy/source)     Relative Error
    7200|               1.561          2.585e-17              0.158
    7201|               1.044          3.252e-17              0.171
    7202|               5.256          3.406e-17              0.126
    7203|             165.012          3.183e-17              0.039
    7300|             230.000          3.138e-17              0.035
    7400|              12.341          3.739e-17              0.068
    7401|               1.922          3.398e-17              0.114
    7402|               4.831          3.822e-17              0.092
    7403|             736.662          3.466e-17              0.018
    7500|              45.227          3.828e-17              0.051
    7501|             234.773          3.493e-17              0.030
    7600|               4.451          4.124e-17              0.133
    7601|               0.322          5.838e-17              0.199
    7602|             107.784          4.089e-17              0.042
    7700|             100.007          3.822e-17              0.047
    7800|               3.680          5.143e-17              0.134
    7801|               0.266          3.130e-17              0.238
    7802|              64.847          3.883e-17              0.056
    7900|              59.995          3.972e-17              0.059
    8000|               2.196          4.388e-17              0.182
    8001|               0.160          3.557e-17              0.241
    8002|              66.428          4.333e-17              0.053
    8100|              30.005          3.809e-17              0.086
    8200|               3.021          4.131e-17              0.162
    8201|               0.220          3.550e-17              0.247
    8202|             109.320          3.943e-17              0.044
    8300|              50.003          3.608e-17              0.067
    8400|               4.222          2.886e-17              0.159
    8401|               0.306          1.761e-17              0.289
    8402|              51.761          2.873e-17              0.069
    8500|              79.993          2.896e-17              0.058
    8600|              31.268          2.678e-17              0.097
    8700|             290.890          2.987e-17              0.031
    8800|             370.000          2.927e-17              0.029
    8900|             149.091          2.257e-17              0.048
    9000|              37.441          2.704e-17              0.088
    9100|               7.494          2.666e-17              0.175
    9200|             125.147          2.778e-17              0.048
    9300|              31.440          2.492e-17              0.094
    9400|               6.292          3.461e-17              0.193
    9500|            1810.000          3.009e-17              0.013
    9700|             427.256          2.280e-17              0.029
    9900|             522.518          2.539e-17              0.025
   10000|              12.695          2.402e-17              0.155
   10100|              12.695          2.307e-17              0.144
   10200|               4.386          2.635e-17              0.245
   10300|             103.641          3.413e-17              0.045
   10400|               8.771          2.455e-17              0.174
   10500|               8.771          2.680e-17              0.180
   10600|             445.022          2.369e-17              0.028
   10700|            8324.973          2.733e-17              0.006
   10800|            1479.724          3.040e-17              0.014
   10900|            7676.720          2.828e-17              0.007
   11000|               1.871          2.790e-17              0.210
   11001|               0.101          1.953e-17              0.534
   11002|              41.247          2.604e-17              0.081
   11003|              21.240          2.420e-17              0.119
   11100|               6.318          3.542e-17              0.189
   11200|               6.318          3.227e-17              0.184
   11300|             144.552          3.378e-17              0.041
   11400|               0.615          2.289e-17              0.919
   11600|             844.543          2.412e-17              0.021
   11700|           11513.363          2.846e-17              0.005
   11800|            2171.588          3.008e-17              0.012
   11900|            7795.948          2.936e-17              0.006
   12000|              35.880          2.795e-17              0.091
   12100|              35.880          2.102e-17              0.102
   12200|             155.582          2.013e-17              0.046
   12201|               6.324          9.397e-18              0.126
   12300|             871.603          2.414e-17              0.018
   12301|              32.368          1.388e-17              0.052
   12400|             380.905          2.587e-17              0.025
   12401|              15.598          2.087e-17              0.065
   12500|             924.584          2.411e-17              0.017
   12501|              35.025          1.617e-17              0.046
   12600|              19.098          2.224e-17              0.124
   12700|             187.400          2.248e-17              0.044
   12800|              40.562          2.876e-17              0.086
   12801|               0.036          1.515e-17              0.494
   13100|              20.503          2.574e-17              0.117
   13200|              19.455          3.070e-17              0.114
   13300|              20.995          2.516e-17              0.123
   13301|              40.415          2.651e-17              0.090
   13400|               3.075          2.472e-17              0.339
   13500|               7.689          3.842e-17              0.161
   13600|               7.689          2.561e-17              0.176
   13700|              39.459          3.936e-17              0.066
   13701|               1.345          3.968e-17              0.151
   13800|             200.000          3.900e-17              0.033
   13900|              81.993          3.570e-17              0.053
   14000|               0.036          1.561e-17              0.281
=====================================================================

